t,lat_deg,lon_deg,alt_km,detected,snr_dB,range_m,az_cmd_rad,el_cmd_rad,az_t_rad,el_t_rad,sigma_true_m2,sigma_app_m2,R00,R01,R02,R10,R11,R12,R20,R21,R22
10.0,52.009,0.185,0.1,True,151.25693198960687,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,29.999999932146434,29.99999806064816,1.0,0.0,0.0,0.0,-1.0,-1.1102230246251565e-15,0.0,1.1102230246251565e-15,-1.0
11.0,52.009,0.185,0.1,True,145.52054013477348,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,8.00722566493086,8.007225165413892,1.0,0.0,0.0,0.0,-1.2212453270876722e-15,1.0,0.0,-1.0,-1.2212453270876722e-15
12.0,52.009,0.185,0.1,True,156.4857194399099,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,99.99999971624872,99.99999347792114,1.0,0.0,0.0,0.0,1.0,1.3322676295501878e-15,0.0,-1.3322676295501878e-15,1.0
13.0,52.009,0.185,0.1,True,145.51755722984987,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,8.001727876396505,8.001727377222506,1.0,0.0,0.0,0.0,1.4432899320127035e-15,-1.0,0.0,1.0,1.4432899320127035e-15
14.0,52.009,0.185,0.1,True,151.25693198960687,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,29.999999932146434,29.99999806064816,1.0,0.0,0.0,0.0,-1.0,-1.5543122344752192e-15,0.0,1.5543122344752192e-15,-1.0
15.0,52.009,0.185,0.1,True,145.52054013477346,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,8.00722566493082,8.007225165413852,1.0,0.0,0.0,0.0,-1.6653345369377348e-15,1.0,0.0,-1.0,-1.6653345369377348e-15
16.0,52.009,0.185,0.1,True,156.4857194399099,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,99.99999971624872,99.99999347792114,1.0,0.0,0.0,0.0,1.0,1.7763568394002505e-15,0.0,-1.7763568394002505e-15,1.0
17.0,52.009,0.185,0.1,True,145.51755722984987,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,8.001727876396496,8.001727377222497,1.0,0.0,0.0,0.0,1.887379141862766e-15,-1.0,0.0,1.0,1.887379141862766e-15
18.0,52.009,0.185,0.1,True,151.25693198960687,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,29.999999932146434,29.99999806064816,1.0,0.0,0.0,0.0,-1.0,-1.9984014443252818e-15,0.0,1.9984014443252818e-15,-1.0
19.0,52.009,0.185,0.1,True,145.52054013477343,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,8.007225664930779,8.00722516541381,1.0,0.0,0.0,0.0,-2.1094237467877974e-15,1.0,0.0,-1.0,-2.1094237467877974e-15
20.0,52.009,0.185,0.1,True,156.4857194399099,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,99.99999971624872,99.99999347792114,1.0,0.0,0.0,0.0,1.0,2.220446049250313e-15,0.0,-2.220446049250313e-15,1.0
