t,detected,snr_dB,range_m,az_cmd_rad,el_cmd_rad,az_t_rad,el_t_rad,sigma_true_m2,R00,R01,R02,R10,R11,R12,R20,R21,R22,tracks_total,tracks_confirmed
0.0,False,-76.09313385049029,3605899.826971002,-1.919862177193763,0.0,4.36834224760286,-0.286347055329408,5.6434866186906785,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0
0.1,False,-78.26124250994364,3605604.123372778,-1.7976891295541595,0.0,4.368340800409404,-0.2862586412899559,6.329489454234166,0.9997882148954506,-0.002973108953128262,0.020363839994492438,0.0069596520975891505,0.9800548263303691,-0.1986053892250425,-0.019367204208377214,0.19870505280365403,0.9798679571204725,0,0
0.2,False,-86.47134763207603,3605308.4073848967,-1.675516081914557,0.0,4.368339357434157,-0.28617023004782416,6.87106868661948,0.9998460526506181,0.014625524626461625,0.009693556023370643,-0.009693556023370645,0.9209209701043536,-0.3896288000054387,-0.014625524626461623,0.38947485265605675,0.9209209701043536,0,0
0.30000000000000004,False,-100.19705052234214,3605012.679008182,-1.5533430342749535,0.0,4.3683379186784554,-0.2860818216033698,8.149934830018443,0.9999033119949522,0.009429221958173879,-0.01022039308387583,-0.013554089031545475,0.8250994481513502,-0.5648249174132305,0.0031069811795992473,0.5649088337365606,0.8251474754456616,0,0
0.4,False,-120.50214362428261,3604716.9382434567,-1.4311699866353509,0.0,4.36833648414364,-0.2859934159569513,8.26758965073627,0.9999756756856982,-0.0026210755654896,0.00646359031896959,0.0064635903189695955,0.696486587047607,-0.7175406999348294,-0.0026210755654895975,0.7175650242491313,0.696486587047607,0,0
0.5,False,-146.32850209229537,3604421.18509155,-1.3089969389957474,0.0,4.368335053831048,-0.2859050131089272,9.151895323960728,0.9996913036110004,0.009921128371041473,0.022778689522975876,0.013814715429224808,0.5400645184010409,-0.8415102314302907,-0.02065069301859753,0.8415651413741525,0.5397607448692009,0,0
0.6000000000000001,False,-178.17939501919403,3604125.4195532827,-1.1868238913561449,0.0,4.36833362774202,-0.2858166130596556,9.845177694369685,0.99989085793753,0.014521566435981481,0.002719617840059306,-0.0027196178400593738,0.36185051162732534,-0.9322321657794516,-0.014521566435981473,0.9321230237169814,0.3618505116273254,0,0
0.7000000000000001,False,-215.39220099094933,3603829.6416294836,-1.0646508437165423,0.0,4.368332205877896,-0.28572821580949526,11.988877872815571,0.999966725082866,-0.0033872921298262254,-0.007421251853666399,-0.006740205742554094,0.16940761934923249,-0.9855230226295951,0.0045954709874364815,0.9855402501970444,0.16937915127887168,0,0
0.8,False,-232.82165135541138,3603533.8513209773,-1.1519173063162569,0.08726646259971647,4.368330788240016,-0.28563982135880606,12.382712198821473,0.999917468845768,0.00019149055934240448,0.012845965453743707,0.012845965453743714,-0.029805485369901043,-0.9994731683309092,0.0001914905593423933,0.9995556994851414,-0.02980548536990092,0,0
0.9,False,-198.53963501747162,3603238.0486285905,-1.2740903539558595,0.08726646259971647,4.368329374829722,-0.28555142970794606,13.372210698066972,0.9996714082482965,0.02063485728979824,0.015207833359752294,0.019510797094212082,-0.22772682582857381,-0.9735295689370668,-0.016625412103668896,0.973506392101599,-0.228054599185614,0,0
